model,occupation_id,occupation_name,time_weight_summary,time_weight_instruction,time_weight_presentation,est_human_time_summary,est_ai_time_summary,est_reduction_summary,est_human_time_instruction,est_ai_time_instruction,est_reduction_instruction,est_human_time_presentation,est_ai_time_presentation,est_reduction_presentation,est_reduction_timeweighted,label_source,true_reduction,ae,re
sonnet46T,3,プロジェクトマネージャー,0.1,0.6,0.3,4,0.333,0.91675,16,2,0.875,14,2,0.857142857,0.876207143,ref4,0.85,0.026207143,0.030831933
sonnet46T,4,編集者／ライター,0.6,0.2,0.2,4,0.333,0.91675,7,0.75,0.892857143,8,1.5,0.8125,0.865492857,ref4,0.91,-0.044507143,-0.048908948
sonnet46T,5,営業アシスタント／秘書,0.3,0.5,0.2,2.5,0.166666667,0.933333333,6,0.75,0.875,8,1.5,0.8125,0.861666667,ref4,0.66,0.201666667,0.305555556
sonnet46T,6,研修講師／インストラクショナルデザイナー,0.2,0.2,0.6,3.5,0.25,0.928571429,10,1.5,0.85,12,2,0.833333333,0.859047619,ref4,0.95,-0.090952381,-0.095739348
sonnet46T,7,財務・経理系,0.45,0.35,0.2,3,0.25,0.916666667,40,0.333,0.991675,3,1,0.666666667,0.84667,ref4,0.8,0.04667,0.0583375
sonnet46T,7.2,財務・経理系,0.21,0.43,0.36,5,0.416666667,0.916666667,14,2,0.857142857,12,2.5,0.791666667,0.842857143,ref4,0.8,0.042857143,0.053571429
sonnet46T,8,カスタマーサポート系,0.4,0.45,0.15,20,5,0.75,15,4,0.733333333,30,8,0.733333333,0.736666667,ref4,0.56,0.176666667,0.31547619
sonnet46T,8.2,カスタマーサポート系,0.22,0.44,0.35,4,0.333,0.91675,12,1.5,0.875,10,2,0.8,0.85335,ref4,0.56,0.29335,0.523839286
opus46,1,経営コンサルタント,0.2,0.4,0.4,4,0.75,0.8125,7,2,0.714285714,10,3,0.7,0.728214286,ref4,0.835,-0.106785714,-0.127887083
opus46,2,事業企画（企画職）,0.15,0.35,0.5,3.5,0.667,0.809428571,6,1.5,0.75,8,2.5,0.6875,0.736885714,ref4,0.8,-0.063114286,-0.078892857
opus46,2.2,マーケティング担当,0.25,0.2,0.55,3,0.583333333,0.805555556,5,1.5,0.7,6,2,0.666666667,0.707777778,ref4,0.87,-0.162222222,-0.186462324
opus46,3,プロジェクトマネージャー,0.1,0.6,0.3,3.5,0.667,0.809428571,8,2.5,0.6875,6,2,0.666666667,0.703552381,ref4,0.85,-0.146447619,-0.172291317
opus46,4,編集者／ライター,0.6,0.2,0.2,4,0.75,0.8125,5,1.5,0.7,4.5,1.5,0.666666667,0.709166667,ref4,0.91,-0.200833333,-0.220695971
opus46,5,営業アシスタント／秘書,0.3,0.5,0.2,2,0.416666667,0.791666667,3.5,0.833333333,0.761904762,4,1,0.75,0.763095238,ref4,0.66,0.103095238,0.156204906
opus46,6,研修講師／インストラクショナルデザイナー,0.2,0.2,0.6,3.5,0.667,0.809428571,6,2,0.666666667,8,2.5,0.6875,0.703552381,ref4,0.95,-0.246447619,-0.259418546
opus46,7,財務・経理系,0.45,0.35,0.2,3,0.5,0.833333333,4,1,0.75,9,3,0.666666667,0.733333333,ref4,0.8,-0.066666667,-0.083333333
opus46,7.2,財務・経理系,0.21,0.43,0.36,4,1,0.75,7,2.5,0.642857143,8,2.5,0.6875,0.682142857,ref4,0.8,-0.117857143,-0.147321429
opus46,8,カスタマーサポート系,0.4,0.45,0.15,15,5,0.666666667,12,4,0.666666667,1,0.25,0.75,0.7,ref4,0.56,0.14,0.25
opus46,8.2,カスタマーサポート系,0.22,0.44,0.35,45,12,0.733333333,8,2.5,0.6875,6,2,0.666666667,0.688333333,ref4,0.56,0.128333333,0.229166667
opus46T,1,経営コンサルタント,0.2,0.4,0.4,4,0.5,0.875,8,2,0.75,10,3,0.7,0.755,ref4,0.835,-0.08,-0.095808383
opus46T,2,事業企画（企画職）,0.15,0.35,0.5,3.5,0.416666667,0.880952381,7,1.5,0.785714286,9,2.5,0.722222222,0.779365079,ref4,0.8,-0.020634921,-0.025793651
opus46T,2.2,マーケティング担当,0.25,0.2,0.55,2.5,0.333,0.8668,5,1,0.8,6,1.5,0.75,0.79336,ref4,0.87,-0.07664,-0.088091954
opus46T,3,プロジェクトマネージャー,0.1,0.6,0.3,3.5,0.416666667,0.880952381,12,3,0.75,7,2,0.714285714,0.761904762,ref4,0.85,-0.088095238,-0.103641457
opus46T,4,編集者／ライター,0.6,0.2,0.2,4,0.5,0.875,5,1,0.8,5,1.5,0.7,0.775,ref4,0.91,-0.135,-0.148351648
opus46T,5,営業アシスタント／秘書,0.3,0.5,0.2,2,0.25,0.875,3.5,0.667,0.809428571,4,1,0.75,0.798771429,ref4,0.66,0.138771429,0.21025974
opus46T,6,研修講師／インストラクショナルデザイナー,0.2,0.2,0.6,3.5,0.5,0.857142857,8,2,0.75,10,3,0.7,0.751428571,ref4,0.95,-0.198571429,-0.209022556
opus46T,7,財務・経理系,0.45,0.35,0.2,3,0.5,0.833333333,5,1,0.8,8,3,0.625,0.736666667,ref4,0.8,-0.063333333,-0.079166667
opus46T,7.2,財務・経理系,0.21,0.43,0.36,5,1.5,0.7,10,2.5,0.75,8,2.5,0.6875,0.715,ref4,0.8,-0.085,-0.10625
opus46T,8,カスタマーサポート系,0.4,0.45,0.15,10,4,0.6,8,3,0.625,3,1,0.666666667,0.636666667,ref4,0.56,0.076666667,0.136904762
opus46T,8.2,カスタマーサポート系,0.22,0.44,0.35,3,0.5,0.833333333,8,2,0.75,7,2,0.714285714,0.752380952,ref4,0.56,0.192380952,0.343537415
haiku45,1,経営コンサルタント,0.2,0.4,0.4,5,0.3,0.94,8,0.633333333,0.920833333,6.5,0.5,0.923076923,0.925564103,ref4,0.835,0.090564103,0.108460003
haiku45,2,事業企画（企画職）,0.15,0.35,0.5,5,0.3,0.94,8.5,0.7,0.917647059,6.5,0.55,0.915384615,0.92121267,ref4,0.8,0.12121267,0.151515837
haiku45,2.2,マーケティング担当,0.25,0.2,0.55,4.25,0.25,0.941176471,6.75,0.5,0.925925926,5.75,0.45,0.92173913,0.927301317,ref4,0.87,0.057301317,0.065863582
haiku45,3,プロジェクトマネージャー,0.1,0.6,0.3,4.25,0.283333333,0.933333333,10,0.916666667,0.908333333,6.5,0.566666667,0.912820513,0.915128205,ref4,0.85,0.065128205,0.076621418
haiku45,4,編集者／ライター,0.6,0.2,0.2,5.5,0.316666667,0.942424242,7.5,0.666666667,0.911111111,5,0.483333333,0.903333333,0.914262626,ref4,0.91,0.004262626,0.004684205
haiku45,5,営業アシスタント／秘書,0.3,0.5,0.2,2.75,0.166666667,0.939393939,5,0.416666667,0.916666667,4.5,0.333333333,0.925925926,0.924915825,ref4,0.66,0.264915825,0.401387614
haiku45,6,研修講師／インストラクショナルデザイナー,0.2,0.2,0.6,5,0.3,0.94,10,0.833333333,0.916666667,7.5,0.6,0.92,0.922666667,ref4,0.95,-0.027333333,-0.02877193
haiku45,7,財務・経理系,0.45,0.35,0.2,4.5,0.166666667,0.962962963,5.25,0.416666667,0.920634921,2.75,0.108333333,0.960606061,0.945088985,ref4,0.8,0.145088985,0.181361231
haiku45,7.2,財務・経理系,0.21,0.43,0.36,6.25,0.366666667,0.941333333,10,0.916666667,0.908333333,7.5,0.666666667,0.911111111,0.916044444,ref4,0.8,0.116044444,0.145055556
haiku45,8,カスタマーサポート系,0.4,0.45,0.15,2.25,0.075,0.966666667,2.75,0.125,0.954545455,1,0.05,0.95,0.955151515,ref4,0.56,0.395151515,0.705627706
haiku45,8.2,カスタマーサポート系,0.22,0.44,0.35,5.5,0.366666667,0.933333333,8.5,0.8,0.905882353,6.75,0.65,0.903703704,0.910501089,ref4,0.56,0.350501089,0.625894802
gpt35t,1,経営コンサルタント,0.2,0.4,0.4,3,1,0.666666667,6,2,0.666666667,4,1.5,0.625,0.65,BM,0.542333333,0.107666667,0.198524892
gpt35t,2,事業企画（企画職）,0.15,0.35,0.5,6,3,0.5,4,2,0.5,8,5,0.375,0.45,BM,0.519833333,-0.069833333,-0.134337929
gpt35t,2.2,マーケティング担当,0.25,0.2,0.55,3,1,0.666666667,4,1.5,0.625,5,2,0.6,0.623333333,BM,0.547333333,0.076,0.138855055
gpt35t,3,プロジェクトマネージャー,0.1,0.6,0.3,4,1,0.75,6,2,0.666666667,5,2,0.6,0.656666667,BM,0.546666667,0.11,0.201219512
gpt35t,4,編集者／ライター,0.6,0.2,0.2,7,4,0.428571429,6,3.5,0.416666667,8,5,0.375,0.402380952,BM,0.612,-0.209619048,-0.342514784
gpt35t,5,営業アシスタント／秘書,0.3,0.5,0.2,1,0.1667,0.8333,0.75,0.1333,0.822266667,1.5,0.25,0.833333333,0.8289,BM,0.5735,0.2554,0.445335658
gpt35t,6,研修講師／インストラクショナルデザイナー,0.2,0.2,0.6,10,2,0.8,10,2,0.8,10,2,0.8,0.8,BM,0.665,0.135,0.203007519
gpt35t,7,財務・経理系,0.45,0.35,0.2,1,0.5,0.5,1.5,0.75,0.5,1,0.25,0.75,0.6,BM,0.8,-0.2,-0.25
gpt35t,7.2,財務・経理系,0.21,0.43,0.36,1,0.5,0.5,2,1,0.5,1.5,0.75,0.5,0.5,BM,0.61635,-0.11635,-0.188772613
gpt35t,8,カスタマーサポート系,0.4,0.45,0.15,0.333333333,0.083333333,0.75,0.25,0.05,0.8,0.5,0.166666667,0.666666667,0.736666667,BM,0.68,0.056666667,0.083333333
gpt35t,8.2,カスタマーサポート系,0.22,0.44,0.35,1,0.25,0.75,2,0.5,0.75,3,0.75,0.75,0.75,BM,0.498415,0.251585,0.504770121
gpt35t,1,経営コンサルタント,0.2,0.4,0.4,3,1,0.666666667,6,2,0.666666667,4,1.5,0.625,0.65,ref4,0.835,-0.185,-0.221556886
gpt35t,2,事業企画（企画職）,0.15,0.35,0.5,6,3,0.5,4,2,0.5,8,5,0.375,0.45,ref4,0.8,-0.35,-0.4375
gpt35t,2.2,マーケティング担当,0.25,0.2,0.55,3,1,0.666666667,4,1.5,0.625,5,2,0.6,0.623333333,ref4,0.87,-0.246666667,-0.283524904
gpt35t,3,プロジェクトマネージャー,0.1,0.6,0.3,4,1,0.75,6,2,0.666666667,5,2,0.6,0.656666667,ref4,0.85,-0.193333333,-0.22745098
gpt35t,4,編集者／ライター,0.6,0.2,0.2,7,4,0.428571429,6,3.5,0.416666667,8,5,0.375,0.402380952,ref4,0.91,-0.507619048,-0.557823129
gpt35t,5,営業アシスタント／秘書,0.3,0.5,0.2,1,0.1667,0.8333,0.75,0.1333,0.822266667,1.5,0.25,0.833333333,0.8289,ref4,0.66,0.1689,0.255909091
gpt35t,6,研修講師／インストラクショナルデザイナー,0.2,0.2,0.6,10,2,0.8,10,2,0.8,10,2,0.8,0.8,ref4,0.95,-0.15,-0.157894737
gpt35t,7,財務・経理系,0.45,0.35,0.2,1,0.5,0.5,1.5,0.75,0.5,1,0.25,0.75,0.6,ref4,0.8,-0.2,-0.25
gpt35t,7.2,財務・経理系,0.21,0.43,0.36,1,0.5,0.5,2,1,0.5,1.5,0.75,0.5,0.5,ref4,0.8,-0.3,-0.375
gpt35t,8,カスタマーサポート系,0.4,0.45,0.15,0.333333333,0.083333333,0.75,0.25,0.05,0.8,0.5,0.166666667,0.666666667,0.736666667,ref4,0.56,0.176666667,0.31547619
gpt35t,8.2,カスタマーサポート系,0.22,0.44,0.35,1,0.25,0.75,2,0.5,0.75,3,0.75,0.75,0.75,ref4,0.56,0.19,0.339285714
gpt4om,1,経営コンサルタント,0.2,0.4,0.4,8,1,0.875,6,2,0.666666667,10,3,0.7,0.721666667,BM,0.542333333,0.179333333,0.330669945
gpt4om,2,事業企画（企画職）,0.15,0.35,0.5,2,0.5,0.75,3,1,0.666666667,4,1,0.75,0.716666667,BM,0.519833333,0.196833333,0.378647002
gpt4om,2.2,マーケティング担当,0.25,0.2,0.55,6,1,0.833333333,4,0.666666667,0.833333333,8,2,0.75,0.8,BM,0.547333333,0.252666667,0.461632156
gpt4om,3,プロジェクトマネージャー,0.1,0.6,0.3,3,0.5,0.833333333,5,1,0.8,4,1,0.75,0.786666667,BM,0.546666667,0.24,0.43902439
gpt4om,4,編集者／ライター,0.6,0.2,0.2,4,0.5,0.875,3,1,0.666666667,5,2,0.6,0.681666667,BM,0.612,0.069666667,0.113834423
gpt4om,5,営業アシスタント／秘書,0.3,0.5,0.2,2,0.5,0.75,3,1,0.666666667,4,2,0.5,0.616666667,BM,0.5735,0.043166667,0.075268817
gpt4om,6,研修講師／インストラクショナルデザイナー,0.2,0.2,0.6,4,1,0.75,6,2,0.666666667,5,1.5,0.7,0.696666667,BM,0.665,0.031666667,0.047619048
gpt4om,7,財務・経理系,0.45,0.35,0.2,4,1,0.75,3,0.75,0.75,2,0.5,0.75,0.75,BM,0.8,-0.05,-0.0625
gpt4om,7.2,財務・経理系,0.21,0.43,0.36,10,2,0.8,15,4,0.733333333,12,3,0.75,0.753333333,BM,0.61635,0.136983333,0.222249263
gpt4om,8,カスタマーサポート系,0.4,0.45,0.15,15,3,0.8,20,5,0.75,30,10,0.666666667,0.726666667,BM,0.68,0.046666667,0.068627451
gpt4om,8.2,カスタマーサポート系,0.22,0.44,0.35,3,0.5,0.833333333,4,0.75,0.8125,5,1,0.8,0.811666667,BM,0.498415,0.313251667,0.628495665
gpt4om,1,経営コンサルタント,0.2,0.4,0.4,8,1,0.875,6,2,0.666666667,10,3,0.7,0.721666667,ref4,0.835,-0.113333333,-0.135728543
gpt4om,2,事業企画（企画職）,0.15,0.35,0.5,2,0.5,0.75,3,1,0.666666667,4,1,0.75,0.716666667,ref4,0.8,-0.083333333,-0.104166667
gpt4om,2.2,マーケティング担当,0.25,0.2,0.55,6,1,0.833333333,4,0.666666667,0.833333333,8,2,0.75,0.8,ref4,0.87,-0.07,-0.08045977
gpt4om,3,プロジェクトマネージャー,0.1,0.6,0.3,3,0.5,0.833333333,5,1,0.8,4,1,0.75,0.786666667,ref4,0.85,-0.063333333,-0.074509804
gpt4om,4,編集者／ライター,0.6,0.2,0.2,4,0.5,0.875,3,1,0.666666667,5,2,0.6,0.681666667,ref4,0.91,-0.228333333,-0.250915751
gpt4om,5,営業アシスタント／秘書,0.3,0.5,0.2,2,0.5,0.75,3,1,0.666666667,4,2,0.5,0.616666667,ref4,0.66,-0.043333333,-0.065656566
gpt4om,6,研修講師／インストラクショナルデザイナー,0.2,0.2,0.6,4,1,0.75,6,2,0.666666667,5,1.5,0.7,0.696666667,ref4,0.95,-0.253333333,-0.266666667
gpt4om,7,財務・経理系,0.45,0.35,0.2,4,1,0.75,3,0.75,0.75,2,0.5,0.75,0.75,ref4,0.8,-0.05,-0.0625
gpt4om,7.2,財務・経理系,0.21,0.43,0.36,10,2,0.8,15,4,0.733333333,12,3,0.75,0.753333333,ref4,0.8,-0.046666667,-0.058333333
gpt4om,8,カスタマーサポート系,0.4,0.45,0.15,15,3,0.8,20,5,0.75,30,10,0.666666667,0.726666667,ref4,0.56,0.166666667,0.297619048
gpt4om,8.2,カスタマーサポート系,0.22,0.44,0.35,3,0.5,0.833333333,4,0.75,0.8125,5,1,0.8,0.811666667,ref4,0.56,0.251666667,0.449404762
gem2:9b,1,経営コンサルタント,0.2,0.4,0.4,2.5,0.5,0.8,5,2,0.6,4,1.5,0.625,0.65,BM,0.542333333,0.107666667,0.198524892
gem2:9b,2,事業企画（企画職）,0.15,0.35,0.5,2,0.5,0.75,4,1.5,0.625,5,2.5,0.5,0.6,BM,0.519833333,0.080166667,0.154216095
gem2:9b,2.2,マーケティング担当,0.25,0.2,0.55,0.75,0.12,0.84,3.5,2,0.428571429,6,3,0.5,0.539428571,BM,0.547333333,-0.007904762,-0.014442318
gem2:9b,3,プロジェクトマネージャー,0.1,0.6,0.3,2.5,0.75,0.7,7.5,2.5,0.666666667,4,1.5,0.625,0.656666667,BM,0.546666667,0.11,0.201219512
gem2:9b,4,編集者／ライター,0.6,0.2,0.2,3.5,1.75,0.5,2,0.75,0.625,3.5,2,0.428571429,0.521428571,BM,0.612,-0.090571429,-0.14799253
gem2:9b,5,営業アシスタント／秘書,0.3,0.5,0.2,30,10,0.666666667,60,20,0.666666667,90,40,0.555555556,0.622222222,BM,0.5735,0.048722222,0.084955924
gem2:9b,6,研修講師／インストラクショナルデザイナー,0.2,0.2,0.6,2.25,1,0.555555556,48,24,0.5,36,12,0.666666667,0.577777778,BM,0.665,-0.087222222,-0.131161236
gem2:9b,7,財務・経理系,0.45,0.35,0.2,30,10,0.666666667,15,5,0.666666667,10,1,0.9,0.76,BM,0.8,-0.04,-0.05
gem2:9b,7.2,財務・経理系,0.21,0.43,0.36,4,1.5,0.625,7.5,3,0.6,6.5,3.5,0.461538462,0.549615385,BM,0.61635,-0.066734615,-0.108273895
gem2:9b,8,カスタマーサポート系,0.4,0.45,0.15,7,3,0.571428571,10,3,0.7,5,1,0.8,0.714285714,BM,0.68,0.034285714,0.050420168
gem2:9b,8.2,カスタマーサポート系,0.22,0.44,0.35,45,10,0.777777778,90,30,0.666666667,60,20,0.666666667,0.688888889,BM,0.498415,0.190473889,0.382159223
gem2:9b,1,経営コンサルタント,0.2,0.4,0.4,2.5,0.5,0.8,5,2,0.6,4,1.5,0.625,0.65,ref4,0.835,-0.185,-0.221556886
gem2:9b,2,事業企画（企画職）,0.15,0.35,0.5,2,0.5,0.75,4,1.5,0.625,5,2.5,0.5,0.6,ref4,0.8,-0.2,-0.25
gem2:9b,2.2,マーケティング担当,0.25,0.2,0.55,0.75,0.12,0.84,3.5,2,0.428571429,6,3,0.5,0.539428571,ref4,0.87,-0.330571429,-0.379967159
gem2:9b,3,プロジェクトマネージャー,0.1,0.6,0.3,2.5,0.75,0.7,7.5,2.5,0.666666667,4,1.5,0.625,0.656666667,ref4,0.85,-0.193333333,-0.22745098
gem2:9b,4,編集者／ライター,0.6,0.2,0.2,3.5,1.75,0.5,2,0.75,0.625,3.5,2,0.428571429,0.521428571,ref4,0.91,-0.388571429,-0.42700157
gem2:9b,5,営業アシスタント／秘書,0.3,0.5,0.2,30,10,0.666666667,60,20,0.666666667,90,40,0.555555556,0.622222222,ref4,0.66,-0.037777778,-0.057239057
gem2:9b,6,研修講師／インストラクショナルデザイナー,0.2,0.2,0.6,2.25,1,0.555555556,48,24,0.5,36,12,0.666666667,0.577777778,ref4,0.95,-0.372222222,-0.391812865
gem2:9b,7,財務・経理系,0.45,0.35,0.2,30,10,0.666666667,15,5,0.666666667,10,1,0.9,0.76,ref4,0.8,-0.04,-0.05
gem2:9b,7.2,財務・経理系,0.21,0.43,0.36,4,1.5,0.625,7.5,3,0.6,6.5,3.5,0.461538462,0.549615385,ref4,0.8,-0.250384615,-0.312980769
gem2:9b,8,カスタマーサポート系,0.4,0.45,0.15,7,3,0.571428571,10,3,0.7,5,1,0.8,0.714285714,ref4,0.56,0.154285714,0.275510204
gem2:9b,8.2,カスタマーサポート系,0.22,0.44,0.35,45,10,0.777777778,90,30,0.666666667,60,20,0.666666667,0.688888889,ref4,0.56,0.128888889,0.23015873
llama32:3b,1,経営コンサルタント,0.2,0.4,0.4,8,2,0.75,10,1,0.9,12,1.5,0.875,0.86,BM,0.542333333,0.317666667,0.585740627
llama32:3b,2,事業企画（企画職）,0.15,0.35,0.5,2,1.3333,0.33335,3.5,2,0.428571429,4.5,3,0.333333333,0.371431905,BM,0.519833333,-0.148401429,-0.285478862
llama32:3b,2.2,マーケティング担当,0.25,0.2,0.55,2,0.5,0.75,3,0.75,0.75,4,1.5,0.625,0.7,BM,0.547333333,0.152666667,0.278928136
llama32:3b,3,プロジェクトマネージャー,0.1,0.6,0.3,2,1,0.5,3,1.5,0.5,4,2.5,0.375,0.45,BM,0.546666667,-0.096666667,-0.176829268
llama32:3b,4,編集者／ライター,0.6,0.2,0.2,20,5,0.75,25,10,0.6,15,10,0.333333333,0.523333333,BM,0.612,-0.088666667,-0.144880174
llama32:3b,5,営業アシスタント／秘書,0.3,0.5,0.2,4,1.5,0.625,5,2.5,0.5,6,3,0.5,0.525,BM,0.5735,-0.0485,-0.084568439
llama32:3b,6,研修講師／インストラクショナルデザイナー,0.2,0.2,0.6,2.5,1,0.6,1.25,0.5,0.6,2.5,1.833333333,0.266666667,0.466666667,BM,0.665,-0.198333333,-0.298245614
llama32:3b,7,財務・経理系,0.45,0.35,0.2,1.75,0.083333333,0.952380952,3.25,0.166666667,0.948717949,1.5,0.166666667,0.888888889,0.925518926,BM,0.8,0.125518926,0.156898657
llama32:3b,7.2,財務・経理系,0.21,0.43,0.36,2,0.5,0.75,1.5,0.75,0.5,2.5,0.833333333,0.666666667,0.616666667,BM,0.61635,0.000316667,0.000513777
llama32:3b,8,カスタマーサポート系,0.4,0.45,0.15,2,0.5,0.75,1.833333333,0.166666667,0.909090909,2.5,0.75,0.7,0.793636364,BM,0.68,0.113636364,0.167112299
llama32:3b,8.2,カスタマーサポート系,0.22,0.44,0.35,0.5,0.166666667,0.666666667,1,0.5,0.5,1.5,0.666666667,0.555555556,0.555555556,BM,0.498415,0.057140556,0.114644534
llama32:3b,1,経営コンサルタント,0.2,0.4,0.4,8,2,0.75,10,1,0.9,12,1.5,0.875,0.86,ref4,0.835,0.025,0.02994012
llama32:3b,2,事業企画（企画職）,0.15,0.35,0.5,2,1.3333,0.33335,3.5,2,0.428571429,4.5,3,0.333333333,0.371431905,ref4,0.8,-0.428568095,-0.535710119
llama32:3b,2.2,マーケティング担当,0.25,0.2,0.55,2,0.5,0.75,3,0.75,0.75,4,1.5,0.625,0.7,ref4,0.87,-0.17,-0.195402299
llama32:3b,3,プロジェクトマネージャー,0.1,0.6,0.3,2,1,0.5,3,1.5,0.5,4,2.5,0.375,0.45,ref4,0.85,-0.4,-0.470588235
llama32:3b,4,編集者／ライター,0.6,0.2,0.2,20,5,0.75,25,10,0.6,15,10,0.333333333,0.523333333,ref4,0.91,-0.386666667,-0.424908425
llama32:3b,5,営業アシスタント／秘書,0.3,0.5,0.2,4,1.5,0.625,5,2.5,0.5,6,3,0.5,0.525,ref4,0.66,-0.135,-0.204545455
llama32:3b,6,研修講師／インストラクショナルデザイナー,0.2,0.2,0.6,2.5,1,0.6,1.25,0.5,0.6,2.5,1.833333333,0.266666667,0.466666667,ref4,0.95,-0.483333333,-0.50877193
llama32:3b,7,財務・経理系,0.45,0.35,0.2,1.75,0.083333333,0.952380952,3.25,0.166666667,0.948717949,1.5,0.166666667,0.888888889,0.925518926,ref4,0.8,0.125518926,0.156898657
llama32:3b,7.2,財務・経理系,0.21,0.43,0.36,2,0.5,0.75,1.5,0.75,0.5,2.5,0.833333333,0.666666667,0.616666667,ref4,0.8,-0.183333333,-0.229166667
llama32:3b,8,カスタマーサポート系,0.4,0.45,0.15,2,0.5,0.75,1.833333333,0.166666667,0.909090909,2.5,0.75,0.7,0.793636364,ref4,0.56,0.233636364,0.417207792
llama32:3b,8.2,カスタマーサポート系,0.22,0.44,0.35,0.5,0.166666667,0.666666667,1,0.5,0.5,1.5,0.666666667,0.555555556,0.555555556,ref4,0.56,-0.004444444,-0.007936508
mist:7b,1,経営コンサルタント,0.2,0.4,0.4,3,0.5,0.833333333,8,1,0.875,6,1.5,0.75,0.816666667,BM,0.542333333,0.274333333,0.505838967
mist:7b,2,事業企画（企画職）,0.15,0.35,0.5,1.5,0.5,0.666666667,3.5,1.5,0.571428571,10,4,0.6,0.601904762,BM,0.519833333,0.082071429,0.157880273
mist:7b,2.2,マーケティング担当,0.25,0.2,0.55,5,1,0.8,10,2,0.8,8,1,0.875,0.83,BM,0.547333333,0.282666667,0.516443362
mist:7b,3,プロジェクトマネージャー,0.1,0.6,0.3,4,0.0833333,0.979166675,16,1,0.9375,8,0.166667,0.979166625,0.962499985,BM,0.546666667,0.415833318,0.760670704
mist:7b,4,編集者／ライター,0.6,0.2,0.2,2,0.5,0.75,3,1,0.666666667,5,2,0.6,0.656666667,BM,0.612,0.044666667,0.072984749
mist:7b,5,営業アシスタント／秘書,0.3,0.5,0.2,5,0.5,0.9,3,1,0.666666667,7,3,0.571428571,0.675238095,BM,0.5735,0.101738095,0.177398597
mist:7b,6,研修講師／インストラクショナルデザイナー,0.2,0.2,0.6,3.5,1.5,0.571428571,6,2.5,0.583333333,10,3.5,0.65,0.607619048,BM,0.665,-0.057380952,-0.086287146
mist:7b,7,財務・経理系,0.45,0.35,0.2,5,0.5,0.9,10,1,0.9,10,2,0.8,0.86,BM,0.8,0.06,0.075
mist:7b,7.2,財務・経理系,0.21,0.43,0.36,45,3,0.933333333,300,6,0.98,120,12.5,0.895833333,0.937,BM,0.61635,0.32065,0.520240123
mist:7b,8,カスタマーサポート系,0.4,0.45,0.15,20,5,0.75,15,1,0.933333333,10,0.01666,0.998334,0.922666933,BM,0.68,0.242666933,0.356863137
mist:7b,8.2,カスタマーサポート系,0.22,0.44,0.35,30,5,0.833333333,60,5,0.916666667,30,10,0.666666667,0.8,BM,0.498415,0.301585,0.605088129
mist:7b,1,経営コンサルタント,0.2,0.4,0.4,3,0.5,0.833333333,8,1,0.875,6,1.5,0.75,0.816666667,ref4,0.835,-0.018333333,-0.021956088
mist:7b,2,事業企画（企画職）,0.15,0.35,0.5,1.5,0.5,0.666666667,3.5,1.5,0.571428571,10,4,0.6,0.601904762,ref4,0.8,-0.198095238,-0.247619048
mist:7b,2.2,マーケティング担当,0.25,0.2,0.55,5,1,0.8,10,2,0.8,8,1,0.875,0.83,ref4,0.87,-0.04,-0.045977011
mist:7b,3,プロジェクトマネージャー,0.1,0.6,0.3,4,0.0833333,0.979166675,16,1,0.9375,8,0.166667,0.979166625,0.962499985,ref4,0.85,0.112499985,0.132352924
mist:7b,4,編集者／ライター,0.6,0.2,0.2,2,0.5,0.75,3,1,0.666666667,5,2,0.6,0.656666667,ref4,0.91,-0.253333333,-0.278388278
mist:7b,5,営業アシスタント／秘書,0.3,0.5,0.2,5,0.5,0.9,3,1,0.666666667,7,3,0.571428571,0.675238095,ref4,0.66,0.015238095,0.023088023
mist:7b,6,研修講師／インストラクショナルデザイナー,0.2,0.2,0.6,3.5,1.5,0.571428571,6,2.5,0.583333333,10,3.5,0.65,0.607619048,ref4,0.95,-0.342380952,-0.360401003
mist:7b,7,財務・経理系,0.45,0.35,0.2,5,0.5,0.9,10,1,0.9,10,2,0.8,0.86,ref4,0.8,0.06,0.075
mist:7b,7.2,財務・経理系,0.21,0.43,0.36,45,3,0.933333333,300,6,0.98,120,12.5,0.895833333,0.937,ref4,0.8,0.137,0.17125
mist:7b,8,カスタマーサポート系,0.4,0.45,0.15,20,5,0.75,15,1,0.933333333,10,0.01666,0.998334,0.922666933,ref4,0.56,0.362666933,0.647619524
mist:7b,8.2,カスタマーサポート系,0.22,0.44,0.35,30,5,0.833333333,60,5,0.916666667,30,10,0.666666667,0.8,ref4,0.56,0.24,0.428571429
llama2:13b,1,経営コンサルタント,0.2,0.4,0.4,0.75,0.125,0.833333333,252,0.125,0.999503968,252,0.125,0.999503968,0.966269841,BM,0.542333333,0.423936508,0.781689935
llama2:13b,2,事業企画（企画職）,0.15,0.35,0.5,2,0.5,0.75,4,1,0.75,2,0.5,0.75,0.75,BM,0.519833333,0.230166667,0.442770119
llama2:13b,2.2,マーケティング担当,0.25,0.2,0.55,2,1,0.5,4,2,0.5,8,4,0.5,0.5,BM,0.547333333,-0.047333333,-0.086479903
llama2:13b,3,プロジェクトマネージャー,0.1,0.6,0.3,2,0.75,0.625,3,2,0.333333333,4,3,0.25,0.358333333,BM,0.546666667,-0.188333333,-0.344512195
llama2:13b,4,編集者／ライター,0.6,0.2,0.2,75,20,0.733333333,75,20,0.733333333,90,20,0.777777778,0.751111111,BM,0.612,0.139111111,0.227305737
