model,occupation_id,occupation_name,task_weight_summary,task_weight_instruction,task_weight_presentation,est_human_time_summary,est_ai_time_summary,est_reduction_summary2,est_human_time_instruction,est_ai_time_instruction,est_reduction_instruction2,est_human_time_presentation,est_ai_time_presentation,est_reduction_presentation2,est_reduction_timeweighted2,label_source,true_reduction,ae2,re2
sonnet46T,4,編集者／ライター,0.9,0.5,0.4,4,0.333,0.825075,7,0.75,0.446428571,8,1.5,0.325,0.473586429,ref4,0.91,-0.436413571,-0.479575353
sonnet46T,5,営業アシスタント／秘書,0.6,0.8,0.5,2.5,0.166666667,0.56,6,0.75,0.7,8,1.5,0.40625,0.5545,ref4,0.66,-0.1055,-0.159848485
sonnet46T,6,研修講師／インストラクショナルデザイナー,0.5,0.6,0.9,3.5,0.25,0.464285714,10,1.5,0.51,12,2,0.75,0.596857143,ref4,0.95,-0.353142857,-0.371729323
sonnet46T,7,財務・経理系,0.9,1,0.95,3,0.25,0.825,40,0.333,0.991675,3,1,0.633333333,0.815003333,ref4,0.8,0.015003333,0.018754167
sonnet46T,7.2,財務・経理系,0.82,0.92,0.88,5,0.416666667,0.751666667,14,2,0.788571429,12,2.5,0.696666667,0.744428571,ref4,0.8,-0.055571429,-0.069464286
sonnet46T,8,カスタマーサポート系,1,0.95,0.8,20,5,0.75,15,4,0.696666667,30,8,0.586666667,0.663333333,ref4,0.56,0.103333333,0.18452381
sonnet46T,8.2,カスタマーサポート系,0.72,0.9,0.84,4,0.333,0.66006,12,1.5,0.7875,10,2,0.672,0.715812,ref4,0.56,0.155812,0.278235714
opus46,1,経営コンサルタント,0.7,0.9,0.9,4,0.75,0.56875,7,2,0.642857143,10,3,0.63,0.622892857,ref4,0.835,-0.212107143,-0.25402053
opus46,2,事業企画（企画職）,0.6,0.8,0.9,3.5,0.667,0.485657143,6,1.5,0.6,8,2.5,0.61875,0.584631429,ref4,0.8,-0.215368571,-0.269210714
opus46,2.2,マーケティング担当,0.7,0.6,0.8,3,0.583333333,0.563888889,5,1.5,0.42,6,2,0.533333333,0.494111111,ref4,0.87,-0.375888889,-0.432056194
opus46,3,プロジェクトマネージャー,0.5,0.9,0.7,3.5,0.667,0.404714286,8,2.5,0.61875,6,2,0.466666667,0.515109524,ref4,0.85,-0.334890476,-0.393988796
opus46,4,編集者／ライター,0.9,0.5,0.4,4,0.75,0.73125,5,1.5,0.35,4.5,1.5,0.266666667,0.392916667,ref4,0.91,-0.517083333,-0.568223443
opus46,5,営業アシスタント／秘書,0.6,0.8,0.5,2,0.416666667,0.475,3.5,0.833333333,0.60952381,4,1,0.375,0.488809524,ref4,0.66,-0.171190476,-0.259379509
opus46,6,研修講師／インストラクショナルデザイナー,0.5,0.6,0.9,3.5,0.667,0.404714286,6,2,0.4,8,2.5,0.61875,0.488442857,ref4,0.95,-0.461557143,-0.485849624
opus46,7,財務・経理系,0.9,1,0.95,3,0.5,0.75,4,1,0.75,9,3,0.633333333,0.703333333,ref4,0.8,-0.096666667,-0.120833333
opus46,7.2,財務・経理系,0.82,0.92,0.88,4,1,0.615,7,2.5,0.591428571,8,2.5,0.605,0.601571429,ref4,0.8,-0.198428571,-0.248035714
opus46,8,カスタマーサポート系,1,0.95,0.8,15,5,0.666666667,12,4,0.633333333,1,0.25,0.6,0.626666667,ref4,0.56,0.066666667,0.119047619
opus46,8.2,カスタマーサポート系,0.72,0.9,0.84,45,12,0.528,8,2.5,0.61875,6,2,0.56,0.5771,ref4,0.56,0.0171,0.030535714
opus46T,1,経営コンサルタント,0.7,0.9,0.9,4,0.5,0.6125,8,2,0.675,10,3,0.63,0.6445,ref4,0.835,-0.1905,-0.228143713
opus46T,2,事業企画（企画職）,0.6,0.8,0.9,3.5,0.416666667,0.528571429,7,1.5,0.628571429,9,2.5,0.65,0.617142857,ref4,0.8,-0.182857143,-0.228571429
opus46T,2.2,マーケティング担当,0.7,0.6,0.8,2.5,0.333,0.60676,5,1,0.48,6,1.5,0.6,0.553352,ref4,0.87,-0.316648,-0.363963218
opus46T,3,プロジェクトマネージャー,0.5,0.9,0.7,3.5,0.416666667,0.44047619,12,3,0.675,7,2,0.5,0.558095238,ref4,0.85,-0.291904762,-0.343417367
opus46T,4,編集者／ライター,0.9,0.5,0.4,4,0.5,0.7875,5,1,0.4,5,1.5,0.28,0.4295,ref4,0.91,-0.4805,-0.528021978
opus46T,5,営業アシスタント／秘書,0.6,0.8,0.5,2,0.25,0.525,3.5,0.667,0.647542857,4,1,0.375,0.514017143,ref4,0.66,-0.145982857,-0.221186147
opus46T,6,研修講師／インストラクショナルデザイナー,0.5,0.6,0.9,3.5,0.5,0.428571429,8,2,0.45,10,3,0.63,0.517714286,ref4,0.95,-0.432285714,-0.455037594
opus46T,7,財務・経理系,0.9,1,0.95,3,0.5,0.75,5,1,0.8,8,3,0.59375,0.7075,ref4,0.8,-0.0925,-0.115625
opus46T,7.2,財務・経理系,0.82,0.92,0.88,5,1.5,0.574,10,2.5,0.69,8,2.5,0.605,0.6328,ref4,0.8,-0.1672,-0.209
opus46T,8,カスタマーサポート系,1,0.95,0.8,10,4,0.6,8,3,0.59375,3,1,0.533333333,0.570833333,ref4,0.56,0.010833333,0.019345238
opus46T,8.2,カスタマーサポート系,0.72,0.9,0.84,3,0.5,0.6,8,2,0.675,7,2,0.6,0.63,ref4,0.56,0.07,0.125
haiku45,1,経営コンサルタント,0.7,0.9,0.9,5,0.3,0.658,8,0.633333333,0.82875,6.5,0.5,0.830769231,0.795407692,ref4,0.835,-0.039592308,-0.047415937
haiku45,2,事業企画（企画職）,0.6,0.8,0.9,5,0.3,0.564,8.5,0.7,0.734117647,6.5,0.55,0.823846154,0.73598552,ref4,0.8,-0.06401448,-0.0800181
haiku45,2.2,マーケティング担当,0.7,0.6,0.8,4.25,0.25,0.658823529,6.75,0.5,0.555555556,5.75,0.45,0.737391304,0.64894345,ref4,0.87,-0.22105655,-0.254087989
haiku45,3,プロジェクトマネージャー,0.5,0.9,0.7,4.25,0.283333333,0.466666667,10,0.916666667,0.8175,6.5,0.566666667,0.638974359,0.675923077,ref4,0.85,-0.174076923,-0.20479638
haiku45,4,編集者／ライター,0.9,0.5,0.4,5.5,0.316666667,0.848181818,7.5,0.666666667,0.455555556,5,0.483333333,0.361333333,0.496391919,ref4,0.91,-0.413608081,-0.454514375
haiku45,5,営業アシスタント／秘書,0.6,0.8,0.5,2.75,0.166666667,0.563636364,5,0.416666667,0.733333333,4.5,0.333333333,0.462962963,0.591245791,ref4,0.66,-0.068754209,-0.104173044
haiku45,6,研修講師／インストラクショナルデザイナー,0.5,0.6,0.9,5,0.3,0.47,10,0.833333333,0.55,7.5,0.6,0.828,0.6452,ref4,0.95,-0.3048,-0.320842105
haiku45,7,財務・経理系,0.9,1,0.95,4.5,0.166666667,0.866666667,5.25,0.416666667,0.920634921,2.75,0.108333333,0.912575758,0.906617605,ref4,0.8,0.106617605,0.133272006
haiku45,7.2,財務・経理系,0.82,0.92,0.88,6.25,0.366666667,0.771893333,10,0.916666667,0.835666667,7.5,0.666666667,0.801777778,0.809356444,ref4,0.8,0.009356444,0.011695556
haiku45,8,カスタマーサポート系,1,0.95,0.8,2.25,0.075,0.966666667,2.75,0.125,0.906818182,1,0.05,0.76,0.860060606,ref4,0.56,0.300060606,0.535822511
haiku45,8.2,カスタマーサポート系,0.72,0.9,0.84,5.5,0.366666667,0.672,8.5,0.8,0.815294118,6.75,0.65,0.759111111,0.764162092,ref4,0.56,0.204162092,0.364575163
gpt35t,1,経営コンサルタント,0.2,0.4,0.4,3,1,0.466666667,6,2,0.6,4,1.5,0.5625,0.558333333,BM,0.542333333,0.016,0.029502151
gpt35t,2,事業企画（企画職）,0.15,0.35,0.5,6,3,0.3,4,2,0.4,8,5,0.3375,0.355,BM,0.519833333,-0.164833333,-0.317088811
gpt35t,2.2,マーケティング担当,0.25,0.2,0.55,3,1,0.466666667,4,1.5,0.375,5,2,0.48,0.435333333,BM,0.547333333,-0.112,-0.204628502
gpt35t,3,プロジェクトマネージャー,0.1,0.6,0.3,4,1,0.375,6,2,0.6,5,2,0.42,0.483,BM,0.546666667,-0.063666667,-0.116463415
gpt35t,4,編集者／ライター,0.6,0.2,0.2,7,4,0.385714286,6,3.5,0.208333333,8,5,0.15,0.22047619,BM,0.612,-0.39152381,-0.639744787
gpt35t,5,営業アシスタント／秘書,0.3,0.5,0.2,1,0.166666667,0.5,0.75,0.133333333,0.657777778,1.5,0.25,0.416666667,0.529777778,BM,0.5735,-0.043722222,-0.076237528
gpt35t,6,研修講師／インストラクショナルデザイナー,0.2,0.2,0.6,10,2,0.4,10,2,0.48,10,2,0.72,0.56,BM,0.665,-0.105,-0.157894737
gpt35t,7,財務・経理系,0.45,0.35,0.2,1,0.5,0.45,1.5,0.75,0.5,1,0.25,0.7125,0.575,BM,0.8,-0.225,-0.28125
gpt35t,7.2,財務・経理系,0.21,0.43,0.36,1,0.5,0.41,2,1,0.46,1.5,0.75,0.44,0.442,BM,0.61635,-0.17435,-0.28287499
gpt35t,8,カスタマーサポート系,0.4,0.45,0.15,0.3333,0.0833,0.750075008,0.25,0.05,0.76,0.5,0.1666,0.53344,0.667391002,BM,0.68,-0.012608998,-0.018542645
gpt35t,8.2,カスタマーサポート系,0.22,0.44,0.35,1,0.25,0.54,2,0.5,0.675,3,0.75,0.63,0.63,BM,0.498415,0.131585,0.264006902
gpt35t,1,経営コンサルタント,0.2,0.4,0.4,3,1,0.466666667,6,2,0.6,4,1.5,0.5625,0.558333333,ref4,0.835,-0.276666667,-0.331337325
gpt35t,2,事業企画（企画職）,0.15,0.35,0.5,6,3,0.3,4,2,0.4,8,5,0.3375,0.355,ref4,0.8,-0.445,-0.55625
gpt35t,2.2,マーケティング担当,0.25,0.2,0.55,3,1,0.466666667,4,1.5,0.375,5,2,0.48,0.435333333,ref4,0.87,-0.434666667,-0.499616858
gpt35t,3,プロジェクトマネージャー,0.1,0.6,0.3,4,1,0.375,6,2,0.6,5,2,0.42,0.483,ref4,0.85,-0.367,-0.431764706
gpt35t,4,編集者／ライター,0.6,0.2,0.2,7,4,0.385714286,6,3.5,0.208333333,8,5,0.15,0.22047619,ref4,0.91,-0.68952381,-0.757718472
gpt35t,5,営業アシスタント／秘書,0.3,0.5,0.2,1,0.166666667,0.5,0.75,0.133333333,0.657777778,1.5,0.25,0.416666667,0.529777778,ref4,0.66,-0.130222222,-0.197306397
gpt35t,6,研修講師／インストラクショナルデザイナー,0.2,0.2,0.6,10,2,0.4,10,2,0.48,10,2,0.72,0.56,ref4,0.95,-0.39,-0.410526316
gpt35t,7,財務・経理系,0.45,0.35,0.2,1,0.5,0.45,1.5,0.75,0.5,1,0.25,0.7125,0.575,ref4,0.8,-0.225,-0.28125
gpt35t,7.2,財務・経理系,0.21,0.43,0.36,1,0.5,0.41,2,1,0.46,1.5,0.75,0.44,0.442,ref4,0.8,-0.358,-0.4475
gpt35t,8,カスタマーサポート系,0.4,0.45,0.15,0.3333,0.0833,0.750075008,0.25,0.05,0.76,0.5,0.1666,0.53344,0.667391002,ref4,0.56,0.107391002,0.191769646
gpt35t,8.2,カスタマーサポート系,0.22,0.44,0.35,1,0.25,0.54,2,0.5,0.675,3,0.75,0.63,0.63,ref4,0.56,0.07,0.125
gpt4om,1,経営コンサルタント,0.2,0.4,0.4,8,1,0.6125,6,2,0.6,10,3,0.63,0.6145,BM,0.542333333,0.072166667,0.133066994
gpt4om,2,事業企画（企画職）,0.15,0.35,0.5,2,0.5,0.45,3,1,0.533333333,4,1,0.675,0.573333333,BM,0.519833333,0.0535,0.102917602
gpt4om,2.2,マーケティング担当,0.25,0.2,0.55,6,1,0.583333333,4,0.666666667,0.5,8,2,0.6,0.556666667,BM,0.547333333,0.009333333,0.017052375
gpt4om,3,プロジェクトマネージャー,0.1,0.6,0.3,3,0.5,0.416666667,4,1,0.675,5,1,0.56,0.577333333,BM,0.546666667,0.030666667,0.056097561
gpt4om,4,編集者／ライター,0.6,0.2,0.2,4,0.5,0.7875,3,1,0.333333333,5,2,0.24,0.386833333,BM,0.612,-0.225166667,-0.36791939
gpt4om,5,営業アシスタント／秘書,0.3,0.5,0.2,2,0.5,0.45,3,1,0.533333333,4,2,0.25,0.403333333,BM,0.5735,-0.170166667,-0.296716071
gpt4om,6,研修講師／インストラクショナルデザイナー,0.2,0.2,0.6,4,1,0.375,6,2,0.4,5,1.5,0.63,0.487,BM,0.665,-0.178,-0.267669173
gpt4om,7,財務・経理系,0.45,0.35,0.2,4,1,0.675,3,0.75,0.75,2,0.5,0.7125,0.72,BM,0.8,-0.08,-0.1
gpt4om,7.2,財務・経理系,0.21,0.43,0.36,10,2,0.656,15,4,0.674666667,12,3,0.66,0.665066667,BM,0.61635,0.048716667,0.079040588
gpt4om,8,カスタマーサポート系,0.4,0.45,0.15,15,3,0.8,20,5,0.7125,30,10,0.533333333,0.658333333,BM,0.68,-0.021666667,-0.031862745
gpt4om,8.2,カスタマーサポート系,0.22,0.44,0.35,3,0.5,0.6,4,0.75,0.73125,5,1,0.672,0.6813,BM,0.498415,0.182885,0.366933178
gpt4om,1,経営コンサルタント,0.2,0.4,0.4,8,1,0.6125,6,2,0.6,10,3,0.63,0.6145,ref4,0.835,-0.2205,-0.264071856
gpt4om,2,事業企画（企画職）,0.15,0.35,0.5,2,0.5,0.45,3,1,0.533333333,4,1,0.675,0.573333333,ref4,0.8,-0.226666667,-0.283333333
gpt4om,2.2,マーケティング担当,0.25,0.2,0.55,6,1,0.583333333,4,0.666666667,0.5,8,2,0.6,0.556666667,ref4,0.87,-0.313333333,-0.360153257
gpt4om,3,プロジェクトマネージャー,0.1,0.6,0.3,3,0.5,0.416666667,4,1,0.675,5,1,0.56,0.577333333,ref4,0.85,-0.272666667,-0.320784314
gpt4om,4,編集者／ライター,0.6,0.2,0.2,4,0.5,0.7875,3,1,0.333333333,5,2,0.24,0.386833333,ref4,0.91,-0.523166667,-0.574908425
gpt4om,5,営業アシスタント／秘書,0.3,0.5,0.2,2,0.5,0.45,3,1,0.533333333,4,2,0.25,0.403333333,ref4,0.66,-0.256666667,-0.388888889
gpt4om,6,研修講師／インストラクショナルデザイナー,0.2,0.2,0.6,4,1,0.375,6,2,0.4,5,1.5,0.63,0.487,ref4,0.95,-0.463,-0.487368421
gpt4om,7,財務・経理系,0.45,0.35,0.2,4,1,0.675,3,0.75,0.75,2,0.5,0.7125,0.72,ref4,0.8,-0.08,-0.1
gpt4om,7.2,財務・経理系,0.21,0.43,0.36,10,2,0.656,15,4,0.674666667,12,3,0.66,0.665066667,ref4,0.8,-0.134933333,-0.168666667
gpt4om,8,カスタマーサポート系,0.4,0.45,0.15,15,3,0.8,20,5,0.7125,30,10,0.533333333,0.658333333,ref4,0.56,0.098333333,0.175595238
gpt4om,8.2,カスタマーサポート系,0.22,0.44,0.35,3,0.5,0.6,4,0.75,0.73125,5,1,0.672,0.6813,ref4,0.56,0.1213,0.216607143
gem2:9b,1,経営コンサルタント,0.2,0.4,0.4,2.5,0.5,0.56,5,2,0.54,4,1.5,0.5625,0.553,BM,0.542333333,0.010666667,0.019668101
gem2:9b,2,事業企画（企画職）,0.15,0.35,0.5,2,0.5,0.45,4,1.5,0.5,5,2.5,0.45,0.47,BM,0.519833333,-0.049833333,-0.095864059
gem2:9b,2.2,マーケティング担当,0.25,0.2,0.55,0.75,0.12,0.588,3.5,2,0.257142857,6,3,0.4,0.380457143,BM,0.547333333,-0.16687619,-0.304889508
gem2:9b,3,プロジェクトマネージャー,0.1,0.6,0.3,2.5,0.75,0.35,7.5,2.5,0.6,4,1.5,0.4375,0.485,BM,0.546666667,-0.061666667,-0.112804878
gem2:9b,4,編集者／ライター,0.6,0.2,0.2,3.5,1.75,0.45,2,0.75,0.3125,3.5,2,0.171428571,0.283571429,BM,0.612,-0.328428571,-0.536647993
gem2:9b,5,営業アシスタント／秘書,0.3,0.5,0.2,30,10,0.4,60,20,0.533333333,90,40,0.277777778,0.404444444,BM,0.5735,-0.169055556,-0.29477865
gem2:9b,6,研修講師／インストラクショナルデザイナー,0.2,0.2,0.6,2.25,1,0.277777778,48,24,0.3,36,12,0.6,0.415555556,BM,0.665,-0.249444444,-0.375104428
gem2:9b,7,財務・経理系,0.45,0.35,0.2,30,10,0.6,15,5,0.666666667,10,1,0.855,0.728666667,BM,0.8,-0.071333333,-0.089166667
gem2:9b,7.2,財務・経理系,0.21,0.43,0.36,4,1.5,0.5125,7.5,3,0.552,6.5,3.5,0.406153846,0.485761538,BM,0.61635,-0.130588462,-0.211873873
gem2:9b,8,カスタマーサポート系,0.4,0.45,0.15,7,3,0.571428571,10,3,0.665,5,1,0.64,0.636285714,BM,0.68,-0.043714286,-0.064285714
gem2:9b,8.2,カスタマーサポート系,0.22,0.44,0.35,45,10,0.56,90,30,0.6,60,20,0.56,0.576,BM,0.498415,0.077585,0.155663453
gem2:9b,1,経営コンサルタント,0.2,0.4,0.4,2.5,0.5,0.56,5,2,0.54,4,1.5,0.5625,0.553,ref4,0.835,-0.282,-0.337724551
gem2:9b,2,事業企画（企画職）,0.15,0.35,0.5,2,0.5,0.45,4,1.5,0.5,5,2.5,0.45,0.47,ref4,0.8,-0.33,-0.4125
gem2:9b,2.2,マーケティング担当,0.25,0.2,0.55,0.75,0.12,0.588,3.5,2,0.257142857,6,3,0.4,0.380457143,ref4,0.87,-0.489542857,-0.562692939
gem2:9b,3,プロジェクトマネージャー,0.1,0.6,0.3,2.5,0.75,0.35,7.5,2.5,0.6,4,1.5,0.4375,0.485,ref4,0.85,-0.365,-0.429411765
gem2:9b,4,編集者／ライター,0.6,0.2,0.2,3.5,1.75,0.45,2,0.75,0.3125,3.5,2,0.171428571,0.283571429,ref4,0.91,-0.626428571,-0.688383046
gem2:9b,5,営業アシスタント／秘書,0.3,0.5,0.2,30,10,0.4,60,20,0.533333333,90,40,0.277777778,0.404444444,ref4,0.66,-0.255555556,-0.387205387
gem2:9b,6,研修講師／インストラクショナルデザイナー,0.2,0.2,0.6,2.25,1,0.277777778,48,24,0.3,36,12,0.6,0.415555556,ref4,0.95,-0.534444444,-0.562573099
gem2:9b,7,財務・経理系,0.45,0.35,0.2,30,10,0.6,15,5,0.666666667,10,1,0.855,0.728666667,ref4,0.8,-0.071333333,-0.089166667
gem2:9b,7.2,財務・経理系,0.21,0.43,0.36,4,1.5,0.5125,7.5,3,0.552,6.5,3.5,0.406153846,0.485761538,ref4,0.8,-0.314238462,-0.392798077
gem2:9b,8,カスタマーサポート系,0.4,0.45,0.15,7,3,0.571428571,10,3,0.665,5,1,0.64,0.636285714,ref4,0.56,0.076285714,0.13622449
gem2:9b,8.2,カスタマーサポート系,0.22,0.44,0.35,45,10,0.56,90,30,0.6,60,20,0.56,0.576,ref4,0.56,0.016,0.028571429
llama32:3b,1,経営コンサルタント,0.2,0.4,0.4,8,2,0.525,10,1,0.81,12,1.5,0.7875,0.744,BM,0.542333333,0.201666667,0.371850031
llama32:3b,2,事業企画（企画職）,0.15,0.35,0.5,2,1.3333,0.20001,3.5,2,0.342857143,4.5,3,0.3,0.297144857,BM,0.519833333,-0.222688476,-0.428384372
llama32:3b,2.2,マーケティング担当,0.25,0.2,0.55,2,0.5,0.525,3,0.75,0.45,4,1.5,0.5,0.485,BM,0.547333333,-0.062333333,-0.113885505
llama32:3b,3,プロジェクトマネージャー,0.1,0.6,0.3,2,1,0.25,3,1.5,0.45,4,2.5,0.2625,0.335,BM,0.546666667,-0.211666667,-0.387195122
llama32:3b,4,編集者／ライター,0.6,0.2,0.2,20,5,0.675,25,10,0.3,15,10,0.133333333,0.308333333,BM,0.612,-0.303666667,-0.496187364
llama32:3b,5,営業アシスタント／秘書,0.3,0.5,0.2,4,1.5,0.375,5,2.5,0.4,6,3,0.25,0.335,BM,0.5735,-0.2385,-0.41586748
llama32:3b,6,研修講師／インストラクショナルデザイナー,0.2,0.2,0.6,2.5,1,0.3,1.25,0.5,0.36,2.5,1.8333,0.240012,0.3000048,BM,0.665,-0.3649952,-0.548864962
llama32:3b,7,財務・経理系,0.45,0.35,0.2,1.75,0.083333333,0.857142857,3.25,0.166666667,0.948717949,1.5,0.166666667,0.844444444,0.888693529,BM,0.8,0.088693529,0.110866911
llama32:3b,7.2,財務・経理系,0.21,0.43,0.36,2,0.5,0.615,1.5,0.75,0.46,2.5,0.833333333,0.586666667,0.541666667,BM,0.61635,-0.074683333,-0.121170331
llama32:3b,8,カスタマーサポート系,0.4,0.45,0.15,2,0.5,0.75,1.833333333,0.166666667,0.863636364,2.5,0.75,0.56,0.719454545,BM,0.68,0.039454545,0.05802139
llama32:3b,8.2,カスタマーサポート系,0.22,0.44,0.35,0.5,0.166666667,0.48,1,0.5,0.45,1.5,0.666666667,0.466666667,0.462666667,BM,0.498415,-0.035748333,-0.071724032
llama32:3b,1,経営コンサルタント,0.2,0.4,0.4,8,2,0.525,10,1,0.81,12,1.5,0.7875,0.744,ref4,0.835,-0.091,-0.108982036
llama32:3b,2,事業企画（企画職）,0.15,0.35,0.5,2,1.3333,0.20001,3.5,2,0.342857143,4.5,3,0.3,0.297144857,ref4,0.8,-0.502855143,-0.628568929
llama32:3b,2.2,マーケティング担当,0.25,0.2,0.55,2,0.5,0.525,3,0.75,0.45,4,1.5,0.5,0.485,ref4,0.87,-0.385,-0.442528736
llama32:3b,3,プロジェクトマネージャー,0.1,0.6,0.3,2,1,0.25,3,1.5,0.45,4,2.5,0.2625,0.335,ref4,0.85,-0.515,-0.605882353
llama32:3b,4,編集者／ライター,0.6,0.2,0.2,20,5,0.675,25,10,0.3,15,10,0.133333333,0.308333333,ref4,0.91,-0.601666667,-0.661172161
llama32:3b,5,営業アシスタント／秘書,0.3,0.5,0.2,4,1.5,0.375,5,2.5,0.4,6,3,0.25,0.335,ref4,0.66,-0.325,-0.492424242
llama32:3b,6,研修講師／インストラクショナルデザイナー,0.2,0.2,0.6,2.5,1,0.3,1.25,0.5,0.36,2.5,1.8333,0.240012,0.3000048,ref4,0.95,-0.6499952,-0.684205474
llama32:3b,7,財務・経理系,0.45,0.35,0.2,1.75,0.083333333,0.857142857,3.25,0.166666667,0.948717949,1.5,0.166666667,0.844444444,0.888693529,ref4,0.8,0.088693529,0.110866911
llama32:3b,7.2,財務・経理系,0.21,0.43,0.36,2,0.5,0.615,1.5,0.75,0.46,2.5,0.833333333,0.586666667,0.541666667,ref4,0.8,-0.258333333,-0.322916667
llama32:3b,8,カスタマーサポート系,0.4,0.45,0.15,2,0.5,0.75,1.833333333,0.166666667,0.863636364,2.5,0.75,0.56,0.719454545,ref4,0.56,0.159454545,0.28474026
llama32:3b,8.2,カスタマーサポート系,0.22,0.44,0.35,0.5,0.166666667,0.48,1,0.5,0.45,1.5,0.666666667,0.466666667,0.462666667,ref4,0.56,-0.097333333,-0.173809524
mist:7b,1,経営コンサルタント,0.2,0.4,0.4,3,0.5,0.583333333,8,1,0.7875,6,1.5,0.675,0.701666667,BM,0.542333333,0.159333333,0.293792256
mist:7b,2,事業企画（企画職）,0.15,0.35,0.5,1.5,0.5,0.4,3.5,1.5,0.457142857,10,4,0.54,0.478857143,BM,0.519833333,-0.04097619,-0.078825631
mist:7b,2.2,マーケティング担当,0.25,0.2,0.55,5,1,0.56,10,2,0.48,8,1,0.7,0.584,BM,0.547333333,0.036666667,0.066991474
mist:7b,3,プロジェクトマネージャー,0.1,0.6,0.3,4,0.0833333,0.489583338,16,1,0.84375,8,0.166667,0.685416638,0.709583323,BM,0.546666667,0.162916656,0.298018273
mist:7b,4,編集者／ライター,0.6,0.2,0.2,2,0.5,0.675,3,1,0.333333333,5,2,0.24,0.364333333,BM,0.612,-0.247666667,-0.404684096
mist:7b,5,営業アシスタント／秘書,0.3,0.5,0.2,5,0.5,0.54,3,1,0.533333333,7,3,0.285714286,0.435619048,BM,0.5735,-0.137880952,-0.240420144
mist:7b,6,研修講師／インストラクショナルデザイナー,0.2,0.2,0.6,3.5,1.5,0.285714286,6,2.5,0.35,10,3.5,0.585,0.431142857,BM,0.665,-0.233857143,-0.351664876
mist:7b,7,財務・経理系,0.45,0.35,0.2,5,0.5,0.81,10,1,0.9,10,2,0.76,0.826,BM,0.8,0.026,0.0325
mist:7b,7.2,財務・経理系,0.21,0.43,0.36,45,3,0.765333333,300,6,0.9016,120,12.5,0.788333333,0.82904,BM,0.61635,0.21269,0.345079906
mist:7b,8,カスタマーサポート系,0.4,0.45,0.15,20,5,0.75,15,1,0.886666667,10,0.01666,0.7986672,0.824133547,BM,0.68,0.144133547,0.211961098
mist:7b,8.2,カスタマーサポート系,0.22,0.44,0.35,30,5,0.6,60,5,0.825,30,10,0.56,0.674,BM,0.498415,0.175585,0.352286749
mist:7b,1,経営コンサルタント,0.2,0.4,0.4,3,0.5,0.583333333,8,1,0.7875,6,1.5,0.675,0.701666667,ref4,0.835,-0.133333333,-0.159680639
mist:7b,2,事業企画（企画職）,0.15,0.35,0.5,1.5,0.5,0.4,3.5,1.5,0.457142857,10,4,0.54,0.478857143,ref4,0.8,-0.321142857,-0.401428571
mist:7b,2.2,マーケティング担当,0.25,0.2,0.55,5,1,0.56,10,2,0.48,8,1,0.7,0.584,ref4,0.87,-0.286,-0.328735632
mist:7b,3,プロジェクトマネージャー,0.1,0.6,0.3,4,0.0833333,0.489583338,16,1,0.84375,8,0.166667,0.685416638,0.709583323,ref4,0.85,-0.140416678,-0.165196091
mist:7b,4,編集者／ライター,0.6,0.2,0.2,2,0.5,0.675,3,1,0.333333333,5,2,0.24,0.364333333,ref4,0.91,-0.545666667,-0.5996337
mist:7b,5,営業アシスタント／秘書,0.3,0.5,0.2,5,0.5,0.54,3,1,0.533333333,7,3,0.285714286,0.435619048,ref4,0.66,-0.224380952,-0.33997114
mist:7b,6,研修講師／インストラクショナルデザイナー,0.2,0.2,0.6,3.5,1.5,0.285714286,6,2.5,0.35,10,3.5,0.585,0.431142857,ref4,0.95,-0.518857143,-0.546165414
mist:7b,7,財務・経理系,0.45,0.35,0.2,5,0.5,0.81,10,1,0.9,10,2,0.76,0.826,ref4,0.8,0.026,0.0325
mist:7b,7.2,財務・経理系,0.21,0.43,0.36,45,3,0.765333333,300,6,0.9016,120,12.5,0.788333333,0.82904,ref4,0.8,0.02904,0.0363
mist:7b,8,カスタマーサポート系,0.4,0.45,0.15,20,5,0.75,15,1,0.886666667,10,0.01666,0.7986672,0.824133547,ref4,0.56,0.264133547,0.471667048
mist:7b,8.2,カスタマーサポート系,0.22,0.44,0.35,30,5,0.6,60,5,0.825,30,10,0.56,0.674,ref4,0.56,0.114,0.203571429
llama2:13b,1,経営コンサルタント,0.2,0.4,0.4,0.75,0.125,0.583333333,252,0.125,0.899553571,252,0.125,0.899553571,0.836309524,BM,0.542333333,0.29397619,0.542058126
llama2:13b,2,事業企画（企画職）,0.15,0.35,0.5,2,0.5,0.45,4,1,0.6,2,0.5,0.675,0.6,BM,0.519833333,0.080166667,0.154216095
llama2:13b,2.2,マーケティング担当,0.25,0.2,0.55,2,1,0.35,4,2,0.3,8,4,0.4,0.35,BM,0.547333333,-0.197333333,-0.360535932
llama2:13b,3,プロジェクトマネージャー,0.1,0.6,0.3,2,0.75,0.3125,3,2,0.3,4,3,0.175,0.2525,BM,0.546666667,-0.294166667,-0.538109756
llama2:13b,4,編集者／ライター,0.6,0.2,0.2,75,20,0.66,75,20,0.366666667,90,20,0.311111111,0.403111111,BM,0.612,-0.208888889,-0.341321714
llama2:13b,5,営業アシスタント／秘書,0.3,0.5,0.2,45,7.5,0.5,90,7.5,0.733333333,90,7.5,0.458333333,0.576666667,BM,0.5735,0.003166667,0.005521651
